Job Identifier,Organization Id,Job Location City,Job Location Region Code,Job First Upload Complete Datetime,Job Deliverable
184830906,10917,Lincoln,NE,9/29/2016 1:39:19 PM,complete
184830942,22287,Edmond,OK,9/29/2016 3:02:32 PM,roof
184830945,8435,Wichita,KS,9/29/2016 3:05:14 PM,complete
184830946,16640,Prairie Village,KS,9/29/2016 3:05:19 PM,roof
184830963,8787,Papillion,NE,9/29/2016 3:57:50 PM,complete
184831037,28351,Kerrville,TX,9/29/2016 6:02:11 PM,roof
184831061,13507,Carrollton,TX,9/29/2016 7:10:06 PM,roof
184831067,11499,Prairie Village,KS,9/29/2016 7:23:25 PM,complete
184831099,10917,Lincoln,NE,9/29/2016 8:12:30 PM,complete
184831271,24329,Spring,TX,9/30/2016 1:40:18 PM,roof
184831286,28543,Keller,TX,9/30/2016 2:23:02 PM,complete
184831315,11404,Shawnee,KS,9/30/2016 3:11:53 PM,roof
184831341,11404,Shawnee,KS,9/30/2016 4:05:45 PM,roof
184831365,22287,Bixby,OK,9/30/2016 4:34:08 PM,roof
184831385,24329,Houston,TX,9/30/2016 4:57:26 PM,roof
184831399,8435,Wichita,KS,9/30/2016 5:15:53 PM,complete
184831438,8727,Fargo,ND,9/30/2016 6:59:17 PM,complete
184831455,8727,Fargo,ND,9/30/2016 7:33:57 PM,complete
184831604,8417,Norman,OK,10/1/2016 3:47:32 PM,complete
184831613,24329,Houston,TX,10/1/2016 4:40:20 PM,roof
184831620,25393,Bismarck,ND,10/1/2016 5:01:07 PM,complete
184831622,24876,Nebraska,NE,10/1/2016 5:19:13 PM,complete
184831630,13507,Garland,TX,10/1/2016 5:32:06 PM,roof
184831654,8417,Rosharon,TX,10/1/2016 7:03:25 PM,complete
184831671,28336,Lewisville,TX,10/1/2016 7:41:11 PM,roof
184831718,8417,El Paso,TX,10/1/2016 10:59:33 PM,complete
184831912,28707,Oklahoma City,OK,10/2/2016 7:49:01 PM,complete
184831919,8423,Arlington,TX,10/2/2016 9:21:17 PM,complete
184831930,8417,San Antonio,TX,10/2/2016 10:42:08 PM,complete
184831989,8423,League City,TX,10/3/2016 1:17:42 PM,complete
184832029,20430,Omaha,NE,10/3/2016 2:36:21 PM,complete
184832038,10548,Montgomery,TX,10/3/2016 3:22:18 PM,complete
184832047,10575,Hickman,NE,10/3/2016 3:48:46 PM,complete
184832172,16116,Fort Worth,TX,10/3/2016 8:22:36 PM,roof
184832181,16116,Arlington,TX,10/3/2016 8:37:13 PM,roof
184832185,8451,Omaha,NE,10/3/2016 8:55:21 PM,complete
184832229,22287,Edmond,OK,10/3/2016 10:17:35 PM,roof
184832241,8417,San Antonio,TX,10/3/2016 10:38:17 PM,complete
184832354,8435,Wichita,KS,10/4/2016 1:31:43 PM,complete
184832397,14640,Arlington,TX,10/4/2016 2:53:21 PM,roof
184832410,16116,Fort Worth,TX,10/4/2016 3:15:15 PM,roof
184832419,22534,Omaha,NE,10/4/2016 3:27:43 PM,complete
184832427,13507,Dallas,TX,10/4/2016 3:47:21 PM,roof
184832430,8417,Pasadena,TX,10/4/2016 3:52:25 PM,complete
184832438,29343,Bucyrus,KS,10/4/2016 4:12:13 PM,complete
184832458,28835,Austin,TX,10/4/2016 4:48:59 PM,complete
184832548,28844,San Antonio,TX,10/4/2016 7:34:54 PM,roof
184832599,24329,Crosby,TX,10/4/2016 9:06:30 PM,roof
184832625,24329,Houston,TX,10/4/2016 10:38:38 PM,roof
